userId,numOfWords,messageRead,timeSpent,numOfPosts,avgPostPerCat,numOfReplies,likeReceived
1954,0,509,34,0,0,0,0
1955,0,6,4,0,0,0,0
1956,369,270,26,3,1,3,7
1957,0,463,53,0,0,0,0
1958,424,421,33,6,1,3,4
1959,0,0,0,0,0,0,0
1960,3,69,14,0,0,1,4
1961,0,4,3,0,0,0,0
1962,33,491,12,1,1,1,26
1963,246,359,48,1,1,3,24
1964,0,246,29,0,0,0,0
1965,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0
1967,0,867,71,0,0,0,0
1968,0,1,1,0,0,0,0
1969,87,269,31,0,0,2,0
1970,0,66,10,0,0,0,0
1971,0,11,3,0,0,0,0
1972,375,250,19,0,0,1,0
1974,199,141,21,3,1,3,0
1975,0,131,22,0,0,0,0
1976,0,238,26,0,0,0,0
1977,0,224,13,0,0,0,0
1978,210,293,45,4,1,0,0
1979,19,92,20,1,1,0,0
1980,0,26,6,0,0,0,0
1981,10,292,12,1,1,0,0
1982,874,71,9,1,1,4,97
1983,44,219,26,0,0,1,10
1984,0,174,23,0,0,0,0
1985,0,0,0,0,0,0,0
1986,129,367,26,2,1,1,4
1987,0,251,22,0,0,0,0
1988,276,160,5,3,1,8,2
1989,0,47,10,0,0,0,0
1990,0,0,0,0,0,0,0
1991,0,18,1,0,0,0,0
1992,183,69,10,1,1,4,0
1993,178,843,71,1,1,4,1
1994,0,0,0,0,0,0,0
1995,0,135,22,0,0,0,0
1996,0,96,9,0,0,0,0
1997,76,424,41,1,1,1,18
1998,0,22,3,0,0,0,0
1999,133,97,28,2,1,0,0
2000,1319,165,22,14,2,11,2
2001,0,125,11,0,0,0,0
2002,0,0,0,0,0,0,0
2003,0,132,7,0,0,0,0
2004,0,0,0,0,0,0,0
2005,454,252,14,4,1,5,0
2006,0,69,14,0,0,0,0
2007,0,222,2,0,0,0,0
2008,0,11,3,0,0,0,0
2009,0,257,13,0,0,0,0
2010,0,362,28,0,0,0,0
2011,0,438,11,0,0,0,0
2012,149,215,29,0,0,2,0
2013,72,252,16,2,1,0,0
2014,354,2050,85,4,1,2,0
2015,0,0,0,0,0,0,0
2016,194,402,38,3,1,1,1
2017,389,380,29,6,1,9,2
2018,978,660,75,11,2,15,4
2019,0,59,8,0,0,0,0
2020,0,41,11,0,0,0,0
2021,0,228,11,0,0,0,0
2022,0,173,38,0,0,0,0
2023,0,152,17,0,0,0,0
2024,0,187,13,0,0,0,0
2025,85,400,28,2,1,2,0
2026,0,0,0,0,0,0,0
2027,0,23,3,0,0,0,0
2028,31,231,23,1,1,1,4
2029,131,288,26,1,1,0,0
2030,5,426,25,0,0,1,0
2031,145,905,21,1,1,2,0
2032,0,331,13,0,0,0,0
2033,0,0,0,0,0,0,0
2034,0,262,24,0,0,0,0
2035,0,15,3,0,0,0,0
2036,0,46,4,0,0,0,0
2037,95,299,60,0,0,2,0
2038,332,1375,82,6,1,1,0
2039,903,469,63,8,2,10,3
2040,51,345,24,0,0,1,5
2041,0,580,38,0,0,0,0
2042,16,191,26,0,0,1,13
2043,426,186,27,8,2,6,11
2044,11,146,19,0,0,2,16
2045,17,79,10,1,1,0,0
2046,0,0,0,0,0,0,0
2047,0,37,4,0,0,0,0
2048,0,0,0,0,0,0,0
2049,130,87,13,1,1,1,2
2050,0,0,0,0,0,0,0
2051,0,11,1,0,0,0,0
2052,24,63,15,1,1,0,0
2053,30,74,14,1,1,0,0
2054,42,226,30,2,1,0,1
2055,500,178,30,8,2,2,3
2056,0,205,21,0,0,0,0
2057,146,339,22,2,1,0,1
2058,664,1985,59,11,2,8,1
2059,980,694,25,0,0,4,6
2060,0,59,13,0,0,1,16
2061,0,36,8,0,0,0,0
2062,0,180,18,0,0,0,0
2063,76,595,25,0,0,1,5
2064,47,216,15,1,1,0,0
2065,0,2,2,0,0,0,0
2066,62,99,14,1,1,0,3
2067,0,313,21,0,0,0,0
2068,0,219,27,0,0,0,0
2069,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0
2071,0,8,3,0,0,0,0
2072,0,393,17,0,0,0,0
2073,0,116,7,0,0,0,0
2074,0,17,2,0,0,0,0
2075,0,0,0,0,0,0,0
2076,0,4,2,0,0,0,0
2077,0,239,12,0,0,0,0
2078,66,361,29,2,1,0,1
2079,0,1337,84,0,0,0,0
2080,0,1001,32,0,0,0,0
2081,0,0,0,0,0,0,0
2082,2035,1399,64,19,3,12,3
2083,0,413,29,0,0,0,0
2084,0,0,0,0,0,0,0
2085,0,70,14,0,0,0,0
2086,23,81,20,1,1,0,0
2087,114,124,23,3,1,1,0
2088,0,55,14,0,0,0,0
2089,0,22,7,0,0,0,0
2090,0,159,17,0,0,0,0
2091,0,171,16,0,0,0,0
2092,0,31,4,0,0,0,0
2093,61,53,8,0,0,3,0
2094,0,491,25,0,0,0,0
2095,0,47,4,0,0,0,0
2096,24,462,61,1,1,0,0
2097,452,218,30,3,1,1,4
2098,0,68,5,0,0,0,0
2099,0,15,2,0,0,0,0
2100,0,36,12,0,0,0,0
2101,203,308,22,2,1,2,1
2102,0,147,19,0,0,0,0
2103,0,18,5,0,0,0,0
2104,31,348,29,0,0,1,13
2105,73,271,20,1,1,0,0
2106,0,9,1,0,0,0,0
2107,0,106,7,0,0,0,0
2108,0,26,6,0,0,0,0
2109,0,6,2,0,0,0,0
2110,0,1,1,0,0,0,0
2111,92,137,10,1,1,0,0
2112,0,0,0,0,0,0,0
2113,0,352,57,0,0,0,0
2114,0,65,2,0,0,0,0
2115,0,69,21,0,0,0,0
2116,0,32,3,0,0,0,0
2117,0,4,3,0,0,0,0
2118,211,776,38,5,1,3,11
2119,0,15,6,0,0,0,0
2120,0,30,4,0,0,0,0
2121,0,99,14,0,0,0,0
2122,129,155,14,1,1,1,7
2123,0,238,33,0,0,0,0
2124,1443,521,12,2,1,5,19
2125,38,278,17,1,1,0,0
2126,0,6,2,0,0,0,0
2127,0,0,0,0,0,0,0
2128,16,237,21,1,1,0,0
2129,0,33,5,0,0,0,0
2130,0,79,10,0,0,0,0
2131,0,0,0,0,0,0,0
2132,0,74,9,0,0,0,0
2133,0,63,12,0,0,0,0
2134,0,406,40,0,0,0,0
2135,0,10,1,0,0,0,0
2136,0,135,15,0,0,0,0
2137,0,319,11,0,0,0,0
2138,0,426,17,0,0,0,0
2139,0,132,9,0,0,0,0
2140,0,88,16,0,0,0,0
2141,0,9,2,0,0,0,0
2142,0,8,3,0,0,0,0
2143,0,130,9,0,0,0,0
2144,0,24,2,0,0,0,0
2145,0,195,17,0,0,0,0
2146,0,39,3,0,0,0,0
2147,0,0,0,0,0,0,0
2148,0,66,9,0,0,0,0
2149,0,0,0,0,0,0,0
2150,0,69,8,0,0,0,0
2151,0,139,19,0,0,0,0
2152,0,379,43,0,0,0,0
2153,0,1,1,0,0,0,0
2154,0,28,8,0,0,0,0
2155,125,592,61,3,1,1,27
2156,6,3,2,0,0,1,0
2157,0,50,6,0,0,0,0
2158,0,0,0,0,0,0,0
2159,0,751,71,0,0,0,0
2160,0,411,44,0,0,0,0
2161,0,39,4,0,0,0,0
2162,0,1398,79,0,0,0,0
2163,0,687,72,0,0,0,0
2164,41,878,42,1,1,0,1
2165,0,0,0,0,0,0,0
2166,0,364,25,0,0,0,0
2167,0,0,0,0,0,0,0
2168,0,22,1,1,1,0,0
2169,0,48,11,0,0,0,0
2170,0,102,5,0,0,0,0
2171,0,226,16,0,0,0,0
2172,0,777,26,0,0,0,0
2173,424,471,56,16,3,9,6
2174,0,248,18,0,0,0,0
2175,0,26,2,0,0,0,0
2176,50,777,49,1,1,2,0
2177,132,327,23,4,1,5,1
2178,0,12,2,0,0,0,0
2179,1322,1195,64,3,1,8,39
2180,0,116,16,0,0,0,0
2181,0,1977,81,0,0,1,0
2182,0,52,7,0,0,0,0
2183,0,36,5,0,0,0,0
2184,0,50,8,0,0,0,0
2185,25,227,21,1,1,1,0
2186,231,848,32,5,1,4,1
2187,0,561,24,0,0,0,0
2188,0,250,39,0,0,1,0
2189,208,94,17,2,1,0,0
2190,0,256,48,0,0,0,0
2191,72,75,13,2,1,1,0
2192,0,5,3,0,0,0,0
